,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
177,Mauritania,178,0(0),147,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,Cook Islands,179,0(0),143,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,Macau,180,0(0),113,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
180,Central African Republic,181,0(0),109,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,Pakistan,182,0(0),109,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,Bahamas,183,0(0),106,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183,Netherlands Antilles,184,0(0),106,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,Aruba,185,0(0),101,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185,São Tomé e Príncipe,186,0(0),100,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186,Mongolia,187,0(0),94,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187,Nicaragua,188,0(0),89,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Brunei Darussalam,189,0(0),86,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189,Equatorial Guinea,190,0(0),78,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190,Djibouti,191,0(0),68,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
191,Niger,192,0(0),72,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192,Seychelles,193,0(0),69,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
193,Somalia,194,0(0),49,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194,Anguilla,195,0(0),65,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
195,Puerto Rico,196,0(0),55,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
196,Papua New Guinea,197,0(0),52,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197,US Virgin Islands,198,0(0),48,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
198,Guam,199,0(0),25,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
199,Turks and Caicos Islands,200,0(0),19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
200,American Samoa,201,0(0),16,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
201,Bhutan,202,0(0),13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
202,Montserrat,203,0(0),10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
